Brand,Product
3M Interconnect Solutions,"2216B/A 1,6 LITRES"
3M Interconnect Solutions,Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V Brown 30.48m/91.44m Roll 3302/10 300SF
3M Interconnect Solutions,"SFTW-202A 9,5 BK RLS OF 150M 123251"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1318-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1350FY-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,Cable Assembly Data 3m 28AWG SCSI to SCSI 26 to 26 POS PL-PL 14B26-SZ3B-300-04C
3M Interconnect Solutions,Cable Assembly Data 1m 28AWG SCSI to SCSI 26 to 26 POS PL-PL Box 14T26-SZLB-100-0LC
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V 30.48m Roll 1700/10100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 16Conductors 28AWG 300V 30.48m Roll 1700/16100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 20Conductors 28AWG 300V 30.48m Roll 1700/20100SF
3M Interconnect Solutions,"2216B/A 1,6 LITRES"
3M Interconnect Solutions,Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V Brown 30.48m/91.44m Roll 3302/10 300SF
3M Interconnect Solutions,"SFTW-202A 9,5 BK RLS OF 150M 123251"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1318-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1350FY-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,Cable Assembly Data 3m 28AWG SCSI to SCSI 26 to 26 POS PL-PL 14B26-SZ3B-300-04C
3M Interconnect Solutions,Cable Assembly Data 1m 28AWG SCSI to SCSI 26 to 26 POS PL-PL Box 14T26-SZLB-100-0LC
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V 30.48m Roll 1700/10100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 16Conductors 28AWG 300V 30.48m Roll 1700/16100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 20Conductors 28AWG 300V 30.48m Roll 1700/20100SF
3M Interconnect Solutions,"2216B/A 1,6 LITRES"
3M Interconnect Solutions,Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V Brown 30.48m/91.44m Roll 3302/10 300SF
3M Interconnect Solutions,"SFTW-202A 9,5 BK RLS OF 150M 123251"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1318-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1350FY-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,Cable Assembly Data 3m 28AWG SCSI to SCSI 26 to 26 POS PL-PL 14B26-SZ3B-300-04C
3M Interconnect Solutions,Cable Assembly Data 1m 28AWG SCSI to SCSI 26 to 26 POS PL-PL Box 14T26-SZLB-100-0LC
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V 30.48m Roll 1700/10100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 16Conductors 28AWG 300V 30.48m Roll 1700/16100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 20Conductors 28AWG 300V 30.48m Roll 1700/20100SF
3M Interconnect Solutions,"2216B/A 1,6 LITRES"
3M Interconnect Solutions,Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V Brown 30.48m/91.44m Roll 3302/10 300SF
3M Interconnect Solutions,"SFTW-202A 9,5 BK RLS OF 150M 123251"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1318-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1350FY-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,Cable Assembly Data 3m 28AWG SCSI to SCSI 26 to 26 POS PL-PL 14B26-SZ3B-300-04C
3M Interconnect Solutions,Cable Assembly Data 1m 28AWG SCSI to SCSI 26 to 26 POS PL-PL Box 14T26-SZLB-100-0LC
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V 30.48m Roll 1700/10100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 16Conductors 28AWG 300V 30.48m Roll 1700/16100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 20Conductors 28AWG 300V 30.48m Roll 1700/20100SF
3M Interconnect Solutions,"2216B/A 1,6 LITRES"
3M Interconnect Solutions,Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V Brown 30.48m/91.44m Roll 3302/10 300SF
3M Interconnect Solutions,"SFTW-202A 9,5 BK RLS OF 150M 123251"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1318-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1350FY-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,Cable Assembly Data 3m 28AWG SCSI to SCSI 26 to 26 POS PL-PL 14B26-SZ3B-300-04C
3M Interconnect Solutions,Cable Assembly Data 1m 28AWG SCSI to SCSI 26 to 26 POS PL-PL Box 14T26-SZLB-100-0LC
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V 30.48m Roll 1700/10100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 16Conductors 28AWG 300V 30.48m Roll 1700/16100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 20Conductors 28AWG 300V 30.48m Roll 1700/20100SF
3M Interconnect Solutions,"2216B/A 1,6 LITRES"
3M Interconnect Solutions,Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V Brown 30.48m/91.44m Roll 3302/10 300SF
3M Interconnect Solutions,"SFTW-202A 9,5 BK RLS OF 150M 123251"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1318-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1350FY-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,Cable Assembly Data 3m 28AWG SCSI to SCSI 26 to 26 POS PL-PL 14B26-SZ3B-300-04C
3M Interconnect Solutions,Cable Assembly Data 1m 28AWG SCSI to SCSI 26 to 26 POS PL-PL Box 14T26-SZLB-100-0LC
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V 30.48m Roll 1700/10100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 16Conductors 28AWG 300V 30.48m Roll 1700/16100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 20Conductors 28AWG 300V 30.48m Roll 1700/20100SF
3M Interconnect Solutions,"2216B/A 1,6 LITRES"
3M Interconnect Solutions,Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V Brown 30.48m/91.44m Roll 3302/10 300SF
3M Interconnect Solutions,"SFTW-202A 9,5 BK RLS OF 150M 123251"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1318-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1350FY-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,Cable Assembly Data 3m 28AWG SCSI to SCSI 26 to 26 POS PL-PL 14B26-SZ3B-300-04C
3M Interconnect Solutions,Cable Assembly Data 1m 28AWG SCSI to SCSI 26 to 26 POS PL-PL Box 14T26-SZLB-100-0LC
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V 30.48m Roll 1700/10100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 16Conductors 28AWG 300V 30.48m Roll 1700/16100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 20Conductors 28AWG 300V 30.48m Roll 1700/20100SF
3M Interconnect Solutions,"2216B/A 1,6 LITRES"
3M Interconnect Solutions,Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V Brown 30.48m/91.44m Roll 3302/10 300SF
3M Interconnect Solutions,"SFTW-202A 9,5 BK RLS OF 150M 123251"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1318-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1350FY-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,Cable Assembly Data 3m 28AWG SCSI to SCSI 26 to 26 POS PL-PL 14B26-SZ3B-300-04C
3M Interconnect Solutions,Cable Assembly Data 1m 28AWG SCSI to SCSI 26 to 26 POS PL-PL Box 14T26-SZLB-100-0LC
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V 30.48m Roll 1700/10100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 16Conductors 28AWG 300V 30.48m Roll 1700/16100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 20Conductors 28AWG 300V 30.48m Roll 1700/20100SF
3M Interconnect Solutions,"2216B/A 1,6 LITRES"
3M Interconnect Solutions,Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V Brown 30.48m/91.44m Roll 3302/10 300SF
3M Interconnect Solutions,"SFTW-202A 9,5 BK RLS OF 150M 123251"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1318-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1350FY-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,Cable Assembly Data 3m 28AWG SCSI to SCSI 26 to 26 POS PL-PL 14B26-SZ3B-300-04C
3M Interconnect Solutions,Cable Assembly Data 1m 28AWG SCSI to SCSI 26 to 26 POS PL-PL Box 14T26-SZLB-100-0LC
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V 30.48m Roll 1700/10100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 16Conductors 28AWG 300V 30.48m Roll 1700/16100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 20Conductors 28AWG 300V 30.48m Roll 1700/20100SF
3M Interconnect Solutions,"2216B/A 1,6 LITRES"
3M Interconnect Solutions,Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V Brown 30.48m/91.44m Roll 3302/10 300SF
3M Interconnect Solutions,"SFTW-202A 9,5 BK RLS OF 150M 123251"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1318-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1350FY-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,Cable Assembly Data 3m 28AWG SCSI to SCSI 26 to 26 POS PL-PL 14B26-SZ3B-300-04C
3M Interconnect Solutions,Cable Assembly Data 1m 28AWG SCSI to SCSI 26 to 26 POS PL-PL Box 14T26-SZLB-100-0LC
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V 30.48m Roll 1700/10100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 16Conductors 28AWG 300V 30.48m Roll 1700/16100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 20Conductors 28AWG 300V 30.48m Roll 1700/20100SF
3M Interconnect Solutions,"2216B/A 1,6 LITRES"
3M Interconnect Solutions,Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V Brown 30.48m/91.44m Roll 3302/10 300SF
3M Interconnect Solutions,"SFTW-202A 9,5 BK RLS OF 150M 123251"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1318-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1350FY-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,Cable Assembly Data 3m 28AWG SCSI to SCSI 26 to 26 POS PL-PL 14B26-SZ3B-300-04C
3M Interconnect Solutions,Cable Assembly Data 1m 28AWG SCSI to SCSI 26 to 26 POS PL-PL Box 14T26-SZLB-100-0LC
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V 30.48m Roll 1700/10100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 16Conductors 28AWG 300V 30.48m Roll 1700/16100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 20Conductors 28AWG 300V 30.48m Roll 1700/20100SF
3M Interconnect Solutions,"2216B/A 1,6 LITRES"
3M Interconnect Solutions,Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V Brown 30.48m/91.44m Roll 3302/10 300SF
3M Interconnect Solutions,"SFTW-202A 9,5 BK RLS OF 150M 123251"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1318-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1350FY-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,Cable Assembly Data 3m 28AWG SCSI to SCSI 26 to 26 POS PL-PL 14B26-SZ3B-300-04C
3M Interconnect Solutions,Cable Assembly Data 1m 28AWG SCSI to SCSI 26 to 26 POS PL-PL Box 14T26-SZLB-100-0LC
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V 30.48m Roll 1700/10100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 16Conductors 28AWG 300V 30.48m Roll 1700/16100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 20Conductors 28AWG 300V 30.48m Roll 1700/20100SF
3M Interconnect Solutions,"2216B/A 1,6 LITRES"
3M Interconnect Solutions,Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V Brown 30.48m/91.44m Roll 3302/10 300SF
3M Interconnect Solutions,"SFTW-202A 9,5 BK RLS OF 150M 123251"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1318-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1350FY-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,Cable Assembly Data 3m 28AWG SCSI to SCSI 26 to 26 POS PL-PL 14B26-SZ3B-300-04C
3M Interconnect Solutions,Cable Assembly Data 1m 28AWG SCSI to SCSI 26 to 26 POS PL-PL Box 14T26-SZLB-100-0LC
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V 30.48m Roll 1700/10100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 16Conductors 28AWG 300V 30.48m Roll 1700/16100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 20Conductors 28AWG 300V 30.48m Roll 1700/20100SF
3M Interconnect Solutions,"2216B/A 1,6 LITRES"
3M Interconnect Solutions,Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V Brown 30.48m/91.44m Roll 3302/10 300SF
3M Interconnect Solutions,"SFTW-202A 9,5 BK RLS OF 150M 123251"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1318-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1350FY-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,Cable Assembly Data 3m 28AWG SCSI to SCSI 26 to 26 POS PL-PL 14B26-SZ3B-300-04C
3M Interconnect Solutions,Cable Assembly Data 1m 28AWG SCSI to SCSI 26 to 26 POS PL-PL Box 14T26-SZLB-100-0LC
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V 30.48m Roll 1700/10100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 16Conductors 28AWG 300V 30.48m Roll 1700/16100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 20Conductors 28AWG 300V 30.48m Roll 1700/20100SF
3M Interconnect Solutions,"2216B/A 1,6 LITRES"
3M Interconnect Solutions,Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V Brown 30.48m/91.44m Roll 3302/10 300SF
3M Interconnect Solutions,"SFTW-202A 9,5 BK RLS OF 150M 123251"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1318-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1350FY-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,Cable Assembly Data 3m 28AWG SCSI to SCSI 26 to 26 POS PL-PL 14B26-SZ3B-300-04C
3M Interconnect Solutions,Cable Assembly Data 1m 28AWG SCSI to SCSI 26 to 26 POS PL-PL Box 14T26-SZLB-100-0LC
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V 30.48m Roll 1700/10100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 16Conductors 28AWG 300V 30.48m Roll 1700/16100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 20Conductors 28AWG 300V 30.48m Roll 1700/20100SF
3M Interconnect Solutions,"2216B/A 1,6 LITRES"
3M Interconnect Solutions,Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V Brown 30.48m/91.44m Roll 3302/10 300SF
3M Interconnect Solutions,"SFTW-202A 9,5 BK RLS OF 150M 123251"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1318-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1350FY-1, 1219MMX66MX0, 06MM"
3M Interconnect Solutions,Cable Assembly Data 3m 28AWG SCSI to SCSI 26 to 26 POS PL-PL 14B26-SZ3B-300-04C
3M Interconnect Solutions,Cable Assembly Data 1m 28AWG SCSI to SCSI 26 to 26 POS PL-PL Box 14T26-SZLB-100-0LC
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V 30.48m Roll 1700/10100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 16Conductors 28AWG 300V 30.48m Roll 1700/16100SF
3M Interconnect Solutions,Twisted Pair Flat Cable Polyvinyl Chloride 20Conductors 28AWG 300V 30.48m Roll 1700/20100SF
3M Interconnect Solutions,"2216B/A 1,6 LITRES"
3M Interconnect Solutions,Flat Cable Polyvinyl Chloride 10Conductors 28AWG 300V Brown 30.48m/91.44m Roll 3302/10 300SF
3M Interconnect Solutions,"SFTW-202A 9,5 BK RLS OF 150M 123251"
3M Interconnect Solutions,"Polyesterfoil with Acryladhesive, flame retardant Breakdown voltage: 5500 V, insulation class: B (130 °C) 66 m 1318-1, 1219MMX66MX0, 06MM"
